DEBUG | 2026-02-19 09:07:02 | listings.forms | forms | clean | 711 | Validating document: kra_pin, Size: 96223 bytes
DEBUG | 2026-02-19 09:07:02 | listings.forms | forms | clean | 782 | Form validation successful
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 783 | Form validation successful
DEBUG | 2026-02-19 09:07:02 | listings.views | views | add_plot | 789 | Cleaned data: {'title': 'New Plot for Lease', 'county': 'Kericho', 'subcounty': 'Belgut', 'location': 'Kericho - Belgut', 'area': 2.0, 'listing_type': 'lease', 'land_type': 'agricultural', 'land_use_description': 'Agriculture', 'sale_price': None, 'price_per_acre': None, 'lease_price_monthly': None, 'lease_price_yearly': Decimal('12000'), 'lease_duration': 'seasonal', 'lease_terms': 'ertyui', 'soil_type': 'Sandy', 'ph_level': 4.0, 'crop_suitability': 'Maize, Beans, Vegetables', 'has_water': True, 'water_source': 'borehole', 'has_electricity': True, 'electricity_meter': True, 'has_road_access': True, 'road_type': 'tarmac', 'road_distance_km': Decimal('2'), 'has_buildings': True, 'building_description': 'wertyuio', 'fencing': 'full', 'latitude': Decimal('-1.29'), 'longitude': Decimal('36.8219'), 'elevation_meters': None, 'climate_zone': '', 'is_protected_area': False, 'special_features': ''}
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 798 | ✅ Plot saved successfully! ID: 10
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 799 | Plot Title: New Plot for Lease
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 800 | County: Kericho, Subcounty: Belgut
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 801 | Location: Kericho - Belgut
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 802 | Area: 2.0 acres
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 803 | Listing Type: lease
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 804 | Processing time: 0.12 seconds
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 819 | Uploaded documents: ['title_deed', 'official_search', 'landowner_id_doc', 'kra_pin', 'soil_report']
INFO | 2026-02-19 09:07:02 | listings.audit | views | add_plot | 822 | User juma created plot ID 10
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 848 | ✅ Verification status created for plot 10
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 849 | Verification ID: 13
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 850 | Current stage: document_uploaded
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 864 | === PLOT CREATION COMPLETED SUCCESSFULLY (ID: 10) ===

DEBUG | 2026-02-19 09:43:50 | listings.forms | forms | clean | 603 | Validating location - County: None, Subcounty: None
WARNING | 2026-02-19 09:43:50 | listings.validation | forms | clean | 610 | County not selected
WARNING | 2026-02-19 09:43:50 | listings.validation | forms | clean | 622 | Subcounty not selected
DEBUG | 2026-02-19 09:43:50 | listings.forms | forms | clean | 662 | Validating listing type: None
DEBUG | 2026-02-19 09:43:50 | listings.forms | forms | clean | 663 | Sale price: None, Lease monthly: None, Lease yearly: None
DEBUG | 2026-02-19 09:43:50 | listings.forms | forms | clean | 711 | Validating document: title_deed, Size: 1013813 bytes
DEBUG | 2026-02-19 09:43:50 | listings.forms | forms | clean | 711 | Validating document: soil_report, Size: 144943 bytes
DEBUG | 2026-02-19 09:43:50 | listings.forms | forms | clean | 711 | Validating document: official_search, Size: 346871 bytes
DEBUG | 2026-02-19 09:43:50 | listings.forms | forms | clean | 711 | Validating document: landowner_id_doc, Size: 103627 bytes
DEBUG | 2026-02-19 09:43:50 | listings.forms | forms | clean | 711 | Validating document: kra_pin, Size: 504989 bytes
WARNING | 2026-02-19 09:43:50 | listings.validation | forms | clean | 778 | Form validation failed with 2 errors
DEBUG | 2026-02-19 09:43:50 | listings.validation | forms | clean | 780 | Validation error: county: Please select a county
DEBUG | 2026-02-19 09:43:50 | listings.validation | forms | clean | 780 | Validation error: subcounty: Please select a sub-county
DEBUG | 2026-02-19 09:50:52 | listings.forms | forms | clean | 603 | Validating location - County: None, Subcounty: None
WARNING | 2026-02-19 09:50:52 | listings.validation | forms | clean | 610 | County not selected
WARNING | 2026-02-19 09:50:52 | listings.validation | forms | clean | 622 | Subcounty not selected
